Snail.ID	size	species	time.emerge	Trial	time	x	y
A	1.8	native	20	dry	170	1.7	0.1
A	1.8	native	20	dry	180	1.7	0.1
A	1.8	native	20	dry	190	1.8	0.1
A	1.8	native	20	dry	200	1.9	0.1
A	1.8	native	20	dry	210	1.9	0
A	1.8	native	20	dry	220	1.9	-0.1
A	1.8	native	20	dry	230	1.9	-0.2
A	1.8	native	20	dry	240	1.7	-0.3
A	1.8	native	20	dry	250	1.6	-0.5
A	1.8	native	20	dry	260	1.5	-0.6
A	1.8	native	20	dry	270	1.5	-0.6
A	1.8	native	20	dry	280	1.5	-0.6
A	1.8	native	20	dry	290	1.5	-0.6
A	1.8	native	20	dry	300	1.4	-0.8
A	1.8	native	20	wet	0	0	0
A	1.8	native	20	wet	10	0	0
A	1.8	native	20	wet	20	0	0
A	1.8	native	20	wet	30	0	0
A	1.8	native	20	wet	40	0	0
A	1.8	native	20	wet	50	0	0
A	1.8	native	20	wet	60	0	0
A	1.8	native	20	wet	70	0	0
A	1.8	native	20	wet	80	0	0
A	1.8	native	20	wet	90	0	0
A	1.8	native	20	wet	100	0	0
A	1.8	native	20	wet	110	0	0
A	1.8	native	20	wet	120	0	0
A	1.8	native	20	wet	130	0	0
A	1.8	native	20	wet	140	0	0
A	1.8	native	20	wet	150	0	0
A	1.8	native	20	wet	160	0	0
A	1.8	native	20	wet	170	0	0
A	1.8	native	20	wet	180	0	0
A	1.8	native	20	wet	190	0	0
A	1.8	native	20	wet	200	0	0
A	1.8	native	20	wet	210	0	0
A	1.8	native	20	wet	220	0	0
A	1.8	native	20	wet	230	0	0
A	1.8	native	20	wet	240	0	0
A	1.8	native	20	wet	250	0	0
A	1.8	native	20	wet	260	0	0
A	1.8	native	20	wet	270	0	0
A	1.8	native	20	wet	280	0	0
A	1.8	native	20	wet	290	0	0
A	1.8	native	20	wet	300	0	0
10	1.7	non	0	dry	0	0	0
10	1.7	non	0	dry	10	-0.3	0.4
10	1.7	non	0	dry	20	-0.5	0.9
10	1.7	non	0	dry	30	-0.9	0.8
10	1.7	non	0	dry	40	-1	0.1
10	1.7	non	0	dry	50	-1.1	-0.4
10	1.7	non	0	dry	60	-1.3	-1
10	1.7	non	0	dry	70	-1.4	-1.5
